,population,count,Crime rate,murder_and_nonnegligent_manslaughter,aggravated_assault,robbery,arson,auto_theft,larceny,burglary,violent_crimes,property_crimes,murder_rate,aggravated_assault_rate,robbery_rate,arson_rate,auto_theft_rate,larceny_rate,burglary_rate,violent_crime_rate,property_crime_rate
Hyde Park,32317,6317.0,5396.861190278583,9.0,244.0,130.0,1.0,161.0,1246.0,368.0,383.0,1776.0,7.689053460900308,208.45878271774174,111.06410554633779,0.8543392734333676,137.54862302277218,1064.506734697976,314.39685262347933,327.2119417249798,1517.3065496176607
Jamaica Plain,35541,8473.0,6582.168147324343,15.0,313.0,223.0,4.0,274.0,2017.0,598.0,551.0,2893.0,11.652605005295072,243.1510244438238,173.2353944120534,3.107361334745352,212.85425143005662,1566.886953045344,464.5505195444302,428.0390238611723,2247.399085354576
Longwood,4861,784.0,4452.991343930092,0.0,23.0,12.0,0.0,21.0,322.0,17.0,35.0,360.0,0.0,130.63622565101034,68.15803077444018,0.0,119.27655385527032,1828.9071591141449,96.55721026379025,198.7942564254505,2044.7409232332052
Mattapan,22500,7023.0,8617.902168431669,28.0,485.0,250.0,1.0,224.0,1061.0,360.0,763.0,1646.0,34.35871575054631,595.1420406791057,306.7742477727349,1.2270969910909395,274.8697260043705,1301.9499075474869,441.7549167927383,936.275004202387,2019.8016473356868
Mission Hill,16874,3228.0,5281.738441563052,7.0,184.0,96.0,3.0,89.0,759.0,264.0,287.0,1115.0,11.453583981084687,301.06563607422606,157.0777231691614,4.908678849036294,145.62413918807673,1241.8957488061824,431.9637387151939,469.5969432244721,1824.3923055584894
North End,8608,1279.0,4102.321521970204,0.0,41.0,31.0,1.0,45.0,369.0,88.0,72.0,503.0,0.0,131.50522470741075,99.43077965682276,3.207444505058799,144.33500272764596,1183.5470223666969,282.2551164451743,230.93600436423353,1613.3445860445759
Roslindale,26368,4470.0,4680.4945342449655,1.0,197.0,102.0,7.0,152.0,800.0,245.0,300.0,1204.0,1.0470904998310884,206.27682846672442,106.80323098277104,7.3296334988176195,159.15775597432545,837.6723998648708,256.5371724586167,314.12714994932657,1260.6969617966308
Roxbury,49111,22850.0,12846.027174047145,41.0,1461.0,701.0,13.0,708.0,3682.0,837.0,2203.0,5240.0,23.04976429478919,821.3586740167563,394.0947505035907,7.308461849567303,398.03007611489625,2069.981271546678,470.5525052375256,1238.5031888151364,2945.872314748667
South Boston,31110,8496.0,7540.079100512504,6.0,375.0,194.0,3.0,315.0,1861.0,366.0,575.0,2545.0,5.324914619006006,332.8071636878754,172.17223934786088,2.662457309503003,279.55801749781534,1651.6110176616965,324.81979175936635,510.3043176547423,2258.651284228381
South Boston Waterfront,2564,695.0,7483.903743441718,0.0,27.0,3.0,0.0,31.0,214.0,21.0,30.0,266.0,0.0,290.741584277592,32.304620475288,0.0,333.814411577976,2304.3962605705437,226.13234332701597,323.04620475288,2864.3430154755356
South End,29612,8486.0,7912.189787719458,1.0,313.0,211.0,7.0,223.0,2271.0,356.0,525.0,2857.0,0.9323815446287363,291.8354234687945,196.73250591666337,6.5266708124011545,207.92108445220822,2117.438487851861,331.92782988783017,489.50031093008664,2663.8140730042996
West End,5423,1852.0,9428.938155773458,2.0,107.0,32.0,1.0,20.0,507.0,49.0,141.0,577.0,10.18243861314628,544.760465803326,162.91901781034048,5.09121930657314,101.82438613146282,2581.248188432582,249.4697460220839,717.8619222268128,2937.633539892702
West Roxbury,30445,3178.0,2882.03548523428,1.0,94.0,34.0,3.0,70.0,636.0,174.0,129.0,883.0,0.9068708260649085,85.24585765010141,30.833608086206894,2.7206124781947256,63.480957824543594,576.7698453772817,157.79552373529413,116.9863365623732,800.7669394153143
